# lat lon vals
46.69264 3.25930 0.01172
50.23045 0.22641 0.00808
35.72266 -1.45399 0.02608
36.05487 -3.49786 0.03172
27.14799 0.15147 0.22503
29.33818 -5.11665 0.05124
34.27924 -1.29122 0.02978
41.45676 4.16764 0.02818
37.11719 -5.89051 0.02298
39.79163 -8.22658 0.02233
36.50377 -1.96007 0.01829
32.90921 -2.92275 0.04694
32.22475 -11.75194 0.01049
36.44919 -2.75001 0.01926
33.87044 -5.56240 0.03148
40.43898 1.85903 0.01675
38.84588 -5.69948 0.01705
33.05975 -0.81469 0.03032
35.58982 -2.84917 0.03120
42.64471 8.52082 0.01458
44.64802 12.00587 0.02357
46.98067 16.66341 0.01192
44.01225 10.92243 0.02312
42.79708 12.29315 0.01585
47.30587 16.39516 0.01480
49.08838 5.30528 0.01800
45.03555 11.95042 0.01684
41.05005 9.93237 0.02069
50.41520 20.69069 0.00984
45.10764 11.11440 0.01455
42.38066 6.06981 0.03982
47.08892 15.06970 0.01252
47.67866 8.29860 0.01815
41.33722 12.58085 0.02098
44.31169 10.81817 0.02431
38.57164 -22.35196 0.00802
38.37588 -25.02964 0.01415
39.51391 -34.46801 0.02205
31.33823 -24.64964 0.01954
36.80916 -21.41550 0.02614
38.74600 -27.13476 0.01925
40.09895 -28.77391 0.01476
39.27219 -23.38175 0.01436
35.05330 -23.30213 0.01699
34.91922 -29.42389 0.02131
38.95918 -24.32191 0.01776
36.09545 -26.25908 0.01003
45.75577 -18.72743 0.01155
40.09981 -27.28075 0.03702
35.07883 -19.80029 0.01056
38.06439 -24.17567 0.01767
42.23912 13.91327 0.02792
42.87007 11.82018 0.02329
40.81001 13.81949 0.02005
45.27792 17.95627 0.03020
44.44401 8.92067 0.02387
47.61124 6.64064 0.05291
43.01224 13.56039 0.04013
39.17442 11.54898 0.01830
42.53470 20.94277 0.02057
48.50546 22.38520 0.02104
46.13230 12.07786 0.02678
46.72011 9.84453 0.03537
44.61556 12.04732 0.01694
49.08493 16.11979 0.01611
48.09357 7.00884 0.02299
50.67126 5.13169 0.02130
46.89524 11.66544 0.03302
42.74472 9.54127 0.02248
46.46335 19.92109 0.02342
51.95880 20.18353 0.00986
46.96238 10.80635 0.03657
44.15570 5.51575 0.02532
48.87776 14.79168 0.02368
49.39708 8.01129 0.02405
43.05352 12.37422 0.02587
46.16857 10.49893 0.04000
46.02546 7.75928 0.01160
43.96449 10.00272 0.01092
48.61103 14.05563 0.01227
47.32145 5.00266 0.00873
49.81521 3.11659 0.02212
46.23680 9.53864 0.01540
45.95384 18.22234 0.02090
46.28621 8.68865 0.01061
43.50135 3.80862 0.02542
48.35037 12.66480 0.01665
48.64288 5.88750 0.01328
42.41890 10.38785 0.01153
45.48997 8.41905 0.02143
42.61686 10.97622 0.03753
43.18717 8.86373 0.01937
41.17032 10.95265 0.02289
45.86787 15.10864 0.02953
44.60442 6.07995 0.02670
47.48476 3.90996 0.02467
43.38236 10.58084 0.03909
39.52584 8.76470 0.02595
43.08884 18.68019 0.02627
49.43032 19.83352 0.02177
44.41512 12.90628 0.02253
45.02094 10.74125 0.01475
42.94066 12.84449 0.01347
47.40004 16.94360 0.01216
46.47672 7.88735 0.01244
49.28996 5.85231 0.00898
45.18125 12.52250 0.02205
41.18175 10.44851 0.01084
44.72975 20.36498 0.01523
50.42083 21.15956 0.00616
45.25815 11.68462 0.02408
42.52543 6.52917 0.01736
47.19743 15.63683 0.01517
47.85015 8.87322 0.01536
41.47549 13.11800 0.00919
44.46300 11.37858 0.02374
34.31676 9.94656 0.00941
36.15269 12.88089 0.02892
38.94636 17.67091 0.00896
35.52043 11.91768 0.02269
35.78205 13.16391 0.01845
36.42767 11.21031 0.02856
27.88047 13.10885 0.34897
28.54542 7.49482 0.35661
34.43002 13.06682 0.01127
39.42693 17.50121 0.01357
38.23173 8.22549 0.01020
42.45622 5.06579 0.00000
36.58892 12.83974 0.01274
33.07958 11.19722 0.00982
36.25004 19.90837 0.00992
36.68534 12.06674 0.01714
34.16990 7.87959 0.01146
39.14051 16.10065 0.00988
40.15062 8.92878 0.01156
33.29515 13.24286 0.00861
35.84320 11.81497 0.01504
41.79607 13.10543 0.01711
42.41167 11.02355 0.01959
40.37178 13.02862 0.02440
44.92849 17.18547 0.03685
43.95915 8.15402 0.01635
47.11883 5.84470 0.01550
42.56875 12.74515 0.02715
38.76369 10.82037 0.01503
42.14814 20.25985 0.01394
48.33811 21.78644 0.00953
42.65182 11.93395 0.03583
40.01125 7.11097 0.02077
44.70772 15.86930 0.03307
45.46113 9.06307 0.02486
39.02927 13.26279 0.01663
41.84908 11.64526 0.03530
44.37709 11.69040 0.02326
44.95869 9.52222 0.01612
42.89898 11.65988 0.01701
47.45551 15.76056 0.01294
46.35969 6.71076 0.01097
49.09207 4.68977 0.01358
45.14051 11.28935 0.01786
41.14812 9.31699 0.01761
44.76645 19.40949 0.01308
50.62758 20.10883 0.01420
45.20666 10.45227 0.01888
42.47539 5.49219 0.01485
47.22402 14.41438 0.01032
47.73463 7.63580 0.02224
41.43112 11.96823 0.01244
44.41031 10.16507 0.02783
40.81059 10.07311 0.01026
42.75494 13.50224 0.01871
45.05590 18.07177 0.00825
42.74337 9.62817 0.03132
42.13414 12.43684 0.00708
42.37795 13.81134 0.01101
43.00599 11.71493 0.02272
40.94267 13.72113 0.01042
45.40433 17.83714 0.02318
44.56392 8.83181 0.01559
47.67774 6.60135 0.01267
43.14990 13.45586 0.01902
39.28936 11.43686 0.01768
42.67509 20.87033 0.01848
48.59418 22.20786 0.01390
43.23808 12.63961 0.02312
40.57399 7.61830 0.02101
45.20736 16.55484 0.01512
46.02567 9.79964 0.01899
39.56857 13.94584 0.00869
42.43879 12.33579 0.01940
41.94032 13.61857 0.00516
42.56607 11.53356 0.00830
40.51536 13.53067 0.00881
45.02169 17.67758 0.00704
44.13507 8.64392 0.02076
47.31890 6.33729 0.00888
42.71369 13.26396 0.01022
38.89731 11.29298 0.00755
42.25872 20.67998 0.01184
48.33684 22.19015 0.00667
42.80122 12.45115 0.01930
40.15649 7.53075 0.01356
44.81500 16.38008 0.01235
45.63015 9.58352 0.01288
39.16820 13.75383 0.00839
41.99946 12.15412 0.03105
45.46292 7.80948 0.01995
43.41422 10.02512 0.01016
48.07948 14.09289 0.02100
46.77290 5.05756 0.01635
49.32091 3.12853 0.01688
45.67390 9.57332 0.01209
41.62257 7.69775 0.01998
45.40079 18.17691 0.02507
51.34462 18.48284 0.01147
45.72422 8.73040 0.01909
42.96349 3.92815 0.02014
47.81358 12.69995 0.01076
48.11618 5.92545 0.01186
41.90000 10.39740 0.01865
44.92741 8.46429 0.01843
43.67696 11.82116 0.03932
44.26220 9.67769 0.03935
42.21372 11.78328 0.04260
46.78835 15.90021 0.01638
45.68842 6.86345 0.02719
48.50804 4.77668 0.00000
44.44185 11.42835 0.01792
40.50531 9.48885 0.03538
44.07212 19.43554 0.02690
44.51018 10.59907 0.04994
41.80564 5.71835 0.03485
46.55339 14.55430 0.02727
47.09461 7.77178 0.02522
40.78130 12.07663 0.04449
43.71242 10.31514 0.03026
45.64008 11.44849 0.01596
46.21574 9.23201 0.02281
44.12824 11.43391 0.04939
48.65404 15.49028 0.01834
47.56990 6.42931 0.01928
50.13846 4.54224 0.03441
46.40164 11.03088 0.01800
42.28178 8.98931 0.02343
46.01737 19.36595 0.01943
51.63966 19.63183 0.01788
46.46371 10.17889 0.01208
43.67188 5.05266 0.01102
48.42987 14.14737 0.01581
48.88516 7.38819 0.03785
42.58074 11.77462 0.02557
45.66909 9.88500 0.00939
44.80567 8.62670 0.01844
45.32665 6.42625 0.03087
43.30520 8.68105 0.01270
48.09914 12.77574 0.00674
46.58586 3.70859 0.01259
49.07535 1.76568 0.03496
45.56170 8.17511 0.03109
41.53682 6.41966 0.01556
45.39227 17.14729 0.00934
45.60019 7.33253 0.03223
42.84997 2.74890 0.03047
47.79412 11.32726 0.03509
47.93935 4.50811 0.02124
41.79948 9.09157 0.01677
44.80155 7.08828 0.04289
37.74119 6.61653 0.02160
39.66120 9.57764 0.03372
42.49835 14.44505 0.01554
39.00749 8.60378 0.02655
39.29690 9.90401 0.02865
39.85426 7.87875 0.02702
29.83706 10.37236 0.05628
31.20485 3.99566 0.05577
37.89377 9.88401 0.02652
42.90563 14.19687 0.01871
41.31813 5.12839 0.02461
44.51730 2.67372 0.00609
40.07240 9.52069 0.03229
36.40598 7.92308 0.02454
39.91832 17.60290 0.01905
40.12941 8.73083 0.02406
37.54551 4.61604 0.02779
42.56465 12.73201 0.01388
42.93847 5.81220 0.00994
36.62995 10.16336 0.01780
39.31273 8.49909 0.03250
42.95009 12.98859 0.02211
43.56029 10.87230 0.03299
41.50508 12.91878 0.01227
46.01607 17.04650 0.01418
45.06393 8.01401 0.01052
48.06004 5.83276 0.01277
43.71920 12.61809 0.02134
39.83417 10.63293 0.01258
43.28740 20.27576 0.00946
49.24987 21.47209 0.01423
43.79919 11.79598 0.02947
